time,Union_Gap_GH,Mabton_GH,Kiona_GH,Union_Gap_UD,Mabton_UD,Kiona_UD
2025-01-04 20:15:00+00:00,40.8,13.15,5.54,2120,3270,3810
2025-01-04 20:30:00+00:00,40.79,13.15,5.54,2110,3270,3810
2025-01-04 20:45:00+00:00,40.79,13.14,5.54,2110,3250,3810
2025-01-04 21:00:00+00:00,40.79,13.14,5.54,2110,3250,3810
2025-01-04 21:15:00+00:00,40.79,13.14,5.54,2110,3250,3810
2025-01-04 21:30:00+00:00,40.79,13.14,5.54,2110,3250,3810
2025-01-04 21:45:00+00:00,40.79,13.14,5.54,2110,3250,3810
2025-01-04 22:00:00+00:00,40.79,13.14,5.54,2110,3250,3810
2025-01-04 22:15:00+00:00,40.78,13.14,5.54,2090,3250,3810
2025-01-04 22:30:00+00:00,40.78,13.14,5.54,2090,3250,3810
2025-01-04 22:45:00+00:00,40.78,13.13,5.54,2090,3230,3810
2025-01-04 23:00:00+00:00,40.78,13.13,5.54,2090,3230,3810
2025-01-04 23:15:00+00:00,40.78,13.13,5.54,2090,3230,3810
2025-01-04 23:30:00+00:00,40.77,13.13,5.54,2080,3230,3810
2025-01-04 23:45:00+00:00,40.77,13.13,5.54,2080,3230,3810
2025-01-05 00:00:00+00:00,40.77,13.13,5.54,2080,3230,3810
2025-01-05 00:15:00+00:00,40.77,13.13,5.54,2080,3230,3810
2025-01-05 00:30:00+00:00,40.77,13.12,5.54,2080,3210,3810
2025-01-05 00:45:00+00:00,40.77,13.13,5.53,2080,3230,3790
2025-01-05 01:00:00+00:00,40.76,13.12,5.54,2070,3210,3810
2025-01-05 01:15:00+00:00,40.76,13.12,5.54,2070,3210,3810
2025-01-05 01:30:00+00:00,40.76,13.12,5.54,2070,3210,3810
2025-01-05 01:45:00+00:00,40.76,13.12,5.54,2070,3210,3810
2025-01-05 02:00:00+00:00,40.76,13.12,5.54,2070,3210,3810
