region,year,cold_dur_temp11,cold_dur_temp12,cold_dur_temp13,cold_dur_temp14,cold_dur_temp21,cold_dur_temp22,cold_dur_temp23,cold_dur_temp24,cold_dur_temp31,cold_dur_temp32,cold_dur_temp33,cold_dur_temp34,cold_dur_temp41,cold_dur_temp42,cold_dur_temp43,cold_dur_temp44,heat_dur_temp11,heat_dur_temp12,heat_dur_temp13,heat_dur_temp14,heat_dur_temp21,heat_dur_temp22,heat_dur_temp23,heat_dur_temp24,heat_dur_temp31,heat_dur_temp32,heat_dur_temp33,heat_dur_temp34,heat_dur_temp41,heat_dur_temp42,heat_dur_temp43,heat_dur_temp44
NERC11,2003,0,0,1,0,0,0,0,0,0,1,0,2,2,1,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
NERC11,2004,0,0,2,1,0,0,0,0,1,2,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
NERC11,2005,0,0,0,3,0,0,0,0,0,1,0,1,0,2,1,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2
NERC11,2006,0,1,0,2,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,1
NERC11,2007,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,2
NERC11,2008,0,3,2,2,0,0,0,0,2,1,1,2,1,0,0,0,2,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1
NERC11,2009,0,0,1,0,0,0,0,2,2,0,5,0,1,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0
NERC11,2010,0,0,0,0,0,0,2,2,2,1,1,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
NERC11,2011,0,0,0,0,0,0,0,1,1,1,0,1,1,2,0,0,0,0,1,0,0,0,0,1,0,0,2,1,0,0,1,1
NERC11,2012,0,0,0,0,0,0,3,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,3
NERC11,2013,0,0,0,0,0,0,5,3,1,1,2,1,1,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0
NERC11,2014,0,0,0,0,0,0,1,0,2,2,0,0,2,3,0,0,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0
NERC11,2015,0,0,0,0,0,0,2,1,1,0,0,1,3,0,0,0,3,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0
NERC11,2016,0,0,0,0,0,1,0,2,1,3,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0
NERC11,2017,0,0,0,0,0,0,1,3,0,0,1,0,1,1,0,0,2,1,0,0,0,1,1,0,1,2,0,1,0,0,0,0
NERC11,2018,0,0,0,0,0,1,2,2,0,0,0,0,2,0,0,0,0,0,0,0,4,3,2,0,0,0,2,0,0,1,1,1
NERC11,2019,0,0,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,1,2,0
NERC11,2020,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,2,1,0
NERC11,2021,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,3,0
NERC11,2022,0,0,0,0,0,1,3,2,1,0,1,1,3,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,1,2
NERC11,2023,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,0,0,1
NERC11,2024,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,4,0,0,1,1,1,0,0,0,3
NERC12,1980,0,0,0,0,1,2,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,2
NERC12,1981,0,1,0,3,1,1,0,0,1,0,0,0,3,1,0,0,0,1,1,1,0,0,2,0,1,0,1,2,0,0,0,0
NERC12,1982,0,0,2,3,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
NERC12,1983,1,0,3,2,0,0,1,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1
NERC12,1984,1,0,0,0,0,1,0,2,1,1,1,0,1,1,1,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0
NERC12,1985,0,0,2,1,0,0,1,0,1,0,0,0,2,2,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
NERC12,1986,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,2
NERC12,1987,0,0,2,1,0,2,1,0,0,0,0,1,1,0,1,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2
NERC12,1988,0,1,1,2,0,0,0,1,1,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
NERC12,1989,0,0,3,1,2,1,1,0,0,0,0,0,1,1,0,0,3,2,0,0,0,0,1,1,0,2,1,0,0,0,0,0
NERC12,1990,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1
NERC12,1991,0,1,1,2,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,2,1
NERC12,1992,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
NERC12,1993,0,1,1,1,4,0,0,0,0,1,0,0,0,0,1,0,0,2,2,0,0,0,1,1,0,0,0,1,0,0,0,1
NERC12,1994,0,2,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,1,1,0
NERC12,1995,0,0,1,1,0,1,0,0,2,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
NERC12,1996,0,0,1,4,0,2,0,0,0,1,0,1,3,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0
NERC12,1997,0,0,0,3,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
NERC12,1998,1,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
NERC12,1999,0,0,2,1,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,3,1,1,0,0,0,0,0,3,0,0,0,1
NERC12,2000,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0
NERC12,2001,0,0,2,1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
NERC12,2002,0,1,1,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,1
NERC12,2003,0,1,2,4,0,0,0,0,0,0,1,0,2,1,0,0,3,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0
NERC12,2004,1,0,3,2,0,0,0,0,0,1,1,0,3,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
NERC12,2005,0,0,0,7,0,0,0,0,1,0,2,0,1,0,2,0,1,1,0,0,2,1,1,0,0,0,1,1,0,1,1,0
NERC12,2006,0,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,2,1,1,0,0,3,0,0,0,1,0,0,0,0,0,1
NERC12,2007,0,0,0,3,0,1,0,3,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,2
NERC12,2008,0,0,0,0,1,1,1,3,1,2,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1
NERC12,2009,0,0,0,0,0,2,1,0,2,2,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
NERC12,2010,0,0,0,0,0,0,0,0,1,1,0,1,5,0,1,0,0,1,1,0,0,0,0,2,0,0,1,0,0,0,0,3
NERC12,2011,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,2,0,0,0,1,2,1,0,0,0,0,0,1,0,1
NERC12,2012,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
NERC12,2013,0,0,0,0,0,2,4,2,0,1,3,0,1,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0
NERC12,2014,0,0,0,0,0,1,1,4,2,1,1,1,2,2,0,0,1,2,1,0,0,0,0,0,0,1,2,0,0,0,0,0
NERC12,2015,0,0,0,0,1,1,0,1,2,1,0,1,2,1,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,1
