Test_Idx,Baseline,Actual_+15m,Multi-RF_+15m,Multi-XGB_+15m,MLP_+15m,LSTM_+15m,Transformer_+15m,Persistent_+15m,Actual_+60m,Multi-RF_+60m,Multi-XGB_+60m,MLP_+60m,LSTM_+60m,Transformer_+60m,Persistent_+60m,Actual_+240m,Multi-RF_+240m,Multi-XGB_+240m,MLP_+240m,LSTM_+240m,Transformer_+240m,Persistent_+240m,Actual_+1440m,Multi-RF_+1440m,Multi-XGB_+1440m,MLP_+1440m,LSTM_+1440m,Transformer_+1440m,Persistent_+1440m
71626,5.606140836388885,5.570292244722218,5.605633805472208,5.606313553027075,5.606658648015081,5.609865709454834,5.608501143069088,5.606140836388885,5.563771586388889,5.60612830571837,5.608498678323894,5.608083856771781,5.620399972670793,5.606137364418327,5.606140836388885,5.600251028055553,5.602973081476918,5.613885301877826,5.608434698558494,5.625448187128722,5.6083595000813595,5.606140836388885,5.5793714113888875,5.635277049541643,5.6401418477903,5.637410569251596,5.617000251323997,5.64455921506983,5.606140836388885
71627,5.56853159472222,5.602311553055557,5.568024563805543,5.56870431136041,5.569049406348416,5.572746524138996,5.570893317012736,5.56853159472222,5.604700444722219,5.568519064051705,5.570889436657229,5.570474615105116,5.584019174351045,5.5685216407465425,5.56853159472222,5.574821053055555,5.565363839810253,5.5762760602111605,5.5708254568918285,5.590179398207614,5.570643521397063,5.56853159472222,5.546631861388889,5.597667807874978,5.614304881094643,5.599801327584931,5.586952916829535,5.607211593090245,5.56853159472222
71628,5.5984180697222214,5.604916394722224,5.597911038805544,5.598590786360411,5.598935881348417,5.603809022529141,5.6007807680387955,5.5984180697222214,5.592446603055553,5.598405539051706,5.60077591165723,5.6003610901051175,5.615405039580629,5.598375035168694,5.5984180697222214,5.609246044722223,5.595250314810254,5.606162535211162,5.60071193189183,5.617646285982893,5.600236637236641,5.5984180697222214,5.576861636388891,5.627554282874979,5.631560189368294,5.629687802584932,5.616811392547653,5.637522564919756,5.5984180697222214
71629,5.603963911388888,5.566295369722223,5.603456880472211,5.604136628027078,5.604481723015084,5.609228003625645,5.606328099821582,5.603963911388888,5.58046619472222,5.603951380718373,5.606321753323897,5.605906931771784,5.620174797107353,5.6039378045544765,5.603963911388888,5.587355361388887,5.600796156476921,5.611708376877829,5.606257773558497,5.621525697265639,5.605929806684031,5.603963911388888,5.5768203530555525,5.633100124541646,5.637964922790303,5.635233644251599,5.614393368218913,5.642899695639386,5.603963911388888
71630,5.567515561388888,5.602936869722221,5.567008530472211,5.567688278027077,5.5680333730150835,5.572379618449219,5.569880688594736,5.567515561388888,5.607267219722221,5.567503030718372,5.569873403323896,5.569458581771784,5.583284329654731,5.567526886271395,5.567515561388888,5.580598428055556,5.5643478064769205,5.575260026877828,5.569809423558496,5.5888851415683405,5.569748038457789,5.567515561388888,5.5500646113888905,5.5966517745416455,5.613288847761311,5.5987852942515985,5.580009872125544,5.606243101911701,5.567515561388888
71631,5.604504469722222,5.598100078055552,5.603997438805545,5.604677186360412,5.605022281348418,5.609257372036289,5.606870170622777,5.604504469722222,5.579622611388885,5.604491939051707,5.606862311657231,5.6064474901051184,5.620395412608694,5.604491863339852,5.604504469722222,5.607717553055551,5.601336714810255,5.612248935211163,5.606798331891831,5.625437173932504,5.606567192762803,5.604504469722222,5.578615378055552,5.63364068287498,5.637646589368295,5.635774202584933,5.61920704314084,5.643353357851218,5.604504469722222
71632,5.598948369722223,5.56889463638889,5.598441338805546,5.599121086360412,5.599466181348419,5.603307503263807,5.601314577262258,5.598948369722223,5.590769111388887,5.598935839051707,5.601306211657231,5.600891390105119,5.613889467890715,5.598953257303094,5.598948369722223,5.573331678055553,5.595780614810256,5.606692835211163,5.601242231891831,5.619927379290914,5.6011474681900495,5.598948369722223,5.567186286388889,5.628084582874981,5.632090489368295,5.630218102584934,5.611293177108621,5.637642337928867,5.598948369722223
71633,5.573110419722223,5.607096319722221,5.572603388805546,5.573283136360413,5.573628231348419,5.578118548659557,5.5754776479918,5.573110419722223,5.604553911388887,5.5730978890517076,5.575468261657232,5.575053440105119,5.589568018378639,5.573098379583978,5.573110419722223,5.597272994722221,5.569942664810256,5.5808548852111635,5.5754042818918315,5.595973863663101,5.575122374506616,5.573110419722223,5.560053419722223,5.602246632874981,5.618883706094646,5.604380152584934,5.5931044699865815,5.61213943308773,5.573110419722223
71634,5.607011103055555,5.58571468638889,5.606504072138878,5.607183819693745,5.607528914681751,5.611596955902058,5.609378249368746,5.607011103055555,5.571625686388888,5.60699857238504,5.609368944990564,5.608954123438451,5.622069074756581,5.60701304020651,5.607011103055555,5.606094844722222,5.603843348143588,5.614755568544496,5.609304965225164,5.6284879436559265,5.609178283236105,5.607011103055555,5.57821254472222,5.636147316208313,5.64101211445697,5.638280835918266,5.620289140365202,5.645759281686622,5.607011103055555
71635,5.58999089472222,5.577619803055555,5.589483863805543,5.59016361136041,5.590508706348416,5.594703573214289,5.592358748840567,5.58999089472222,5.598478336388887,5.589978364051705,5.592348736657229,5.591933915105116,5.605650703834769,5.589982609676596,5.58999089472222,5.565355078055553,5.586823139810253,5.597735360211161,5.592284756891829,5.612087539809224,5.592046390699622,5.58999089472222,5.557169553055555,5.619127107874978,5.6231330143682925,5.621260627584931,5.606552373098609,5.628921113389012,5.58999089472222
