water_year,month,cal_year,cal_month,mean_flow_cfs,volume_kcfs_days
1971,Jun,1971,6,634374.0,19031.22
1971,Jul,1971,7,311873.0,9668.063
1971,Aug,1971,8,162883.0,5049.373
1971,Sep,1971,9,90573.0,2717.19
1972,Oct,1971,10,80133.0,2484.123
1972,Nov,1971,11,80110.0,2403.3
1972,Dec,1971,12,79850.0,2475.35
1972,Jan,1972,1,105922.0,3283.582
1972,Feb,1972,2,123048.0,3568.392
1972,Mar,1972,3,325162.0,10080.022
1972,Apr,1972,4,232702.0,6981.06
1972,May,1972,5,552664.0,17132.584
1972,Jun,1972,6,806713.0,24201.39
1972,Jul,1972,7,353200.0,10949.2
1972,Aug,1972,8,177684.0,5508.204
1972,Sep,1972,9,96123.0,2883.69
1973,Oct,1972,10,84529.0,2620.399
1973,Nov,1972,11,75658.0,2269.74
1973,Dec,1972,12,82685.0,2563.235
1973,Jan,1973,1,99744.0,3092.064
1973,Feb,1973,2,74380.0,2082.64
1973,Mar,1973,3,96572.0,2993.732
1973,Apr,1973,4,110425.0,3312.75
1973,May,1973,5,282898.0,8769.838
1973,Jun,1973,6,299295.0,8978.85
1973,Jul,1973,7,177682.0,5508.142
1973,Aug,1973,8,100601.0,3118.631
1973,Sep,1973,9,70253.0,2107.59
1974,Oct,1973,10,72054.0,2233.674
1974,Nov,1973,11,114971.0,3449.13
1974,Dec,1973,12,141876.0,4398.156
1974,Jan,1974,1,223070.0,6915.17
1974,Feb,1974,2,145811.0,4082.708
1974,Mar,1974,3,173070.0,5365.17
1974,Apr,1974,4,330647.0,9919.41
1974,May,1974,5,467468.0,14491.508
1974,Jun,1974,6,842986.0,25289.58
1974,Jul,1974,7,388219.0,12034.789
1974,Aug,1974,8,169571.0,5256.701
1974,Sep,1974,9,94150.0,2824.5
1975,Oct,1974,10,67250.0,2084.75
1975,Nov,1974,11,72103.0,2163.09
1975,Dec,1974,12,69824.0,2164.544
1975,Jan,1975,1,87530.0,2713.43
1975,Feb,1975,2,85802.0,2402.456
1975,Mar,1975,3,119103.0,3692.193
1975,Apr,1975,4,145775.0,4373.25
1975,May,1975,5,400307.0,12409.517
1975,Jun,1975,6,615442.0,18463.26
1975,Jul,1975,7,355729.0,11027.599
1975,Aug,1975,8,143238.0,4440.378
1975,Sep,1975,9,98985.0,2969.55
1976,Oct,1975,10,94670.0,2934.77
1976,Nov,1975,11,120013.0,3600.39
1976,Dec,1975,12,180522.0,5596.182
1976,Jan,1976,1,136530.0,4232.43
1976,Feb,1976,2,112731.0,3269.199
1976,Mar,1976,3,125842.0,3901.102
1976,Apr,1976,4,265133.0,7953.99
1976,May,1976,5,573484.0,17778.004
1976,Jun,1976,6,447152.0,13414.56
1976,Jul,1976,7,343939.0,10662.109
1976,Aug,1976,8,232042.0,7193.302
1976,Sep,1976,9,143293.0,4298.79
1977,Oct,1976,10,82344.0,2552.664
1977,Nov,1976,11,73289.0,2198.67
1977,Dec,1976,12,63887.0,1980.497
1977,Jan,1977,1,62874.0,1949.094
1977,Feb,1977,2,57271.0,1603.588
1977,Mar,1977,3,59141.0,1833.371
1977,Apr,1977,4,100310.0,3009.3
1977,May,1977,5,221839.0,6877.009
1977,Jun,1977,6,242248.0,7267.44
1977,Jul,1977,7,119400.0,3701.4
1977,Aug,1977,8,103898.0,3220.838
1977,Sep,1977,9,72793.0,2183.79
1978,Oct,1977,10,59243.0,1836.533
1978,Nov,1977,11,71954.0,2158.62
1978,Dec,1977,12,140259.0,4348.029
1978,Jan,1978,1,95168.0,2950.208
1978,Feb,1978,2,94737.0,2652.636
1978,Mar,1978,3,134832.0,4179.792
1978,Apr,1978,4,236684.0,7100.52
1978,May,1978,5,387129.0,12000.999
1978,Jun,1978,6,455000.0,13650.0
1978,Jul,1978,7,287682.0,8918.142
1978,Aug,1978,8,128490.0,3983.19
1978,Sep,1978,9,126708.0,3801.24
1979,Oct,1978,10,84724.0,2626.444
1979,Nov,1978,11,74717.0,2241.51
1979,Dec,1978,12,58857.0,1824.567
1979,Jan,1979,1,55886.0,1732.466
1979,Feb,1979,2,87020.0,2436.56
1979,Mar,1979,3,127047.0,3938.457
1979,Apr,1979,4,149507.0,4485.21
1979,May,1979,5,403591.0,12511.321
1979,Jun,1979,6,330038.0,9901.14
1979,Jul,1979,7,181477.0,5625.787
1979,Aug,1979,8,101275.0,3139.525
1979,Sep,1979,9,76153.0,2284.59
1980,Oct,1979,10,58974.0,1828.194
1980,Nov,1979,11,51733.0,1551.99
1980,Dec,1979,12,72093.0,2234.883
1980,Jan,1980,1,82036.0,2543.116
1980,Feb,1980,2,83438.0,2419.702
1980,Mar,1980,3,111413.0,3453.803
1980,Apr,1980,4,216446.0,6493.38
1980,May,1980,5,510039.0,15811.209
1980,Jun,1980,6,384998.0,11549.94
1980,Jul,1980,7,192631.0,5971.561
1980,Aug,1980,8,101141.0,3135.371
1980,Sep,1980,9,87992.0,2639.76
1981,Oct,1980,10,80010.0,2480.31
1981,Nov,1980,11,90220.0,2706.6
1981,Dec,1980,12,135750.0,4208.25
1981,Jan,1981,1,131597.0,4079.507
1981,Feb,1981,2,141988.0,3975.664
